filename,steering,point_type,curr_steering
/content/dataset/2024-06-21_23-59-52-754710__sa_-0.1567562952.png,-0.1567562952,99,-0.1122869837
/content/dataset/2024-06-21_23-59-52-774359__sa_-0.1623200359.png,-0.1623200359,99,-0.1168209604
/content/dataset/2024-06-21_23-59-52-780343__sa_-0.1679231381.png,-0.1679231381,99,-0.1214504726
/content/dataset/2024-06-21_23-59-52-834465__sa_-0.1735405917.png,-0.1735405917,99,-0.1261680967
/content/dataset/2024-06-21_23-59-52-839444__sa_-0.1792638402.png,-0.1792638402,99,-0.1309759657
/content/dataset/2024-06-21_23-59-52-859806__sa_-0.1850000701.png,-0.1850000701,99,-0.1358669243
/content/dataset/2024-06-21_23-59-52-864357__sa_-0.1907730927.png,-0.1907730927,99,-0.1408368603
/content/dataset/2024-06-21_23-59-53-079599__sa_-0.0326165826.png,-0.0326165826,99,-0.0788696836
/content/dataset/2024-06-21_23-59-53-118144__sa_-0.0376544415.png,-0.0376544415,99,-0.0749317549
/content/dataset/2024-06-21_23-59-53-137163__sa_-0.0427694251.png,-0.0427694251,99,-0.0718486515
/content/dataset/2024-06-21_23-59-53-145191__sa_-0.0479225213.png,-0.0479225213,99,-0.0695381874
/content/dataset/2024-06-21_23-59-53-163551__sa_-0.0530916020.png,-0.053091602,99,-0.0679264431
/content/dataset/2024-06-21_23-59-53-171532__sa_-0.0582974135.png,-0.0582974135,99,-0.0669498122
/content/dataset/2024-06-21_23-59-53-189673__sa_-0.0635201976.png,-0.0635201976,99,-0.0665494012
/content/dataset/2024-06-21_23-59-53-196948__sa_-0.0687803637.png,-0.0687803637,99,-0.0666741445
/content/dataset/2024-06-21_23-59-53-214986__sa_-0.0740510298.png,-0.0740510298,99,-0.0672753454
/content/dataset/2024-06-21_23-59-53-219973__sa_-0.0793597714.png,-0.0793597714,99,-0.0683116886
/content/dataset/2024-06-21_23-59-53-238430__sa_-0.0846795432.png,-0.0846795432,99,-0.0697432325
/content/dataset/2024-06-21_23-59-53-244848__sa_-0.0900350362.png,-0.0900350362,99,-0.0715362993
/content/dataset/2024-06-21_23-59-53-263239__sa_-0.0954033715.png,-0.0954033715,99,-0.0736582561
/content/dataset/2024-06-21_23-59-53-271850__sa_-0.1008105542.png,-0.1008105542,99,-0.0760821457
/content/dataset/2024-06-21_23-59-53-292966__sa_-0.1062349569.png,-0.1062349569,99,-0.0787815063
/content/dataset/2024-06-21_23-59-53-298954__sa_-0.1116995970.png,-0.111699597,99,-0.0817346431
/content/dataset/2024-06-21_23-59-53-468359__sa_-0.0116995970.png,-0.011699597,99,-0.0483979779
/content/dataset/2024-06-21_23-59-53-486717__sa_-0.0167115647.png,-0.0167115647,99,-0.0453956556
/content/dataset/2024-06-21_23-59-53-509452__sa_-0.0217705790.png,-0.021770579,99,-0.0431576929
/content/dataset/2024-06-21_23-59-53-515358__sa_-0.0268656885.png,-0.0268656885,99,-0.0416099073
/content/dataset/2024-06-21_23-59-53-533186__sa_-0.0319716508.png,-0.0319716508,99,-0.0406852522
/content/dataset/2024-06-21_23-59-53-538177__sa_-0.0371133553.png,-0.0371133553,99,-0.0403267023
/content/dataset/2024-06-21_23-59-53-557658__sa_-0.0422649547.png,-0.0422649547,99,-0.0404807194
/content/dataset/2024-06-21_23-59-53-592830__sa_-0.0474875180.png,-0.047487518,99,-0.0411049996
/content/dataset/2024-06-21_23-59-53-601392__sa_-0.0527504203.png,-0.0527504203,99,-0.042158386
/content/dataset/2024-06-21_23-59-53-620107__sa_-0.0580289609.png,-0.0580289609,99,-0.0436013756
/content/dataset/2024-06-21_23-59-53-626621__sa_-0.0633434493.png,-0.0633434493,99,-0.045400321
/content/dataset/2024-06-21_23-59-53-646848__sa_-0.0686719410.png,-0.068671941,99,-0.0475227737
/content/dataset/2024-06-21_23-59-53-652372__sa_-0.0740408875.png,-0.0740408875,99,-0.0499420502
/content/dataset/2024-06-21_23-59-53-671241__sa_-0.0794214741.png,-0.0794214741,99,-0.0526313161
/content/dataset/2024-06-21_23-59-53-677646__sa_-0.0848400366.png,-0.0848400366,99,-0.0555689339
/content/dataset/2024-06-21_23-59-53-696538__sa_-0.0902725670.png,-0.090272567,99,-0.0587330639
/content/dataset/2024-06-21_23-59-53-702522__sa_-0.0957428853.png,-0.0957428853,99,-0.0621063046
/content/dataset/2024-06-21_23-59-53-757189__sa_-0.1012240516.png,-0.1012240516,99,-0.0656703294
/content/dataset/2024-06-21_23-59-53-764177__sa_-0.1068156711.png,-0.1068156711,99,-0.0694181761
/content/dataset/2024-06-21_23-59-53-782548__sa_-0.1124192769.png,-0.1124192769,99,-0.0733339493
/content/dataset/2024-06-21_23-59-53-788990__sa_-0.1180606038.png,-0.1180606038,99,-0.0774058016
/content/dataset/2024-06-21_23-59-53-808178__sa_-0.1237118355.png,-0.1237118355,99,-0.0816203181
/content/dataset/2024-06-21_23-59-53-814836__sa_-0.1294034449.png,-0.1294034449,99,-0.0859683031
/content/dataset/2024-06-21_23-59-53-834918__sa_-0.1351103617.png,-0.1351103617,99,-0.0904389626
/content/dataset/2024-06-21_23-59-53-842425__sa_-0.1408574406.png,-0.1408574406,99,-0.0950249054
/content/dataset/2024-06-21_23-59-53-952693__sa_-0.1468010899.png,-0.1468010899,99,-0.1247531212
/content/dataset/2024-06-21_23-59-53-977729__sa_-0.1527948786.png,-0.1527948786,99,-0.1272473431
/content/dataset/2024-06-21_23-59-53-982790__sa_-0.1588255860.png,-0.158825586,99,-0.1300765865
/content/dataset/2024-06-21_23-59-54-001728__sa_-0.1648664104.png,-0.1648664104,99,-0.1332074985
/content/dataset/2024-06-21_23-59-54-007776__sa_-0.1709453079.png,-0.1709453079,99,-0.1366138204
/content/dataset/2024-06-21_23-59-54-058836__sa_-0.1770361067.png,-0.1770361067,99,-0.1402698747
/content/dataset/2024-06-21_23-59-54-104416__sa_-0.1833069245.png,-0.1833069245,99,-0.1544789299
/content/dataset/2024-06-21_23-59-54-123339__sa_-0.1895909807.png,-0.1895909807,99,-0.1576254537
/content/dataset/2024-06-21_23-59-54-129360__sa_-0.1959129121.png,-0.1959129121,99,-0.1610744269
/content/dataset/2024-06-21_23-59-54-152168__sa_-0.2022588593.png,-0.2022588593,99,-0.1647976628
/content/dataset/2024-06-21_23-59-54-158435__sa_-0.2086391002.png,-0.2086391002,99,-0.1687715461
/content/dataset/2024-06-21_23-59-54-178008__sa_-0.2150312545.png,-0.2150312545,99,-0.1729732983
/content/dataset/2024-06-21_23-59-54-184787__sa_-0.2214625203.png,-0.2214625203,99,-0.1773850141
/content/dataset/2024-06-21_23-59-54-205051__sa_-0.2279073478.png,-0.2279073478,99,-0.1819878954
/content/dataset/2024-06-21_23-59-54-225056__sa_-0.2343926970.png,-0.234392697,99,-0.1867679016
/content/dataset/2024-06-21_23-59-54-230042__sa_-0.2409180543.png,-0.2409180543,99,-0.191718331
/content/dataset/2024-06-21_23-59-54-249999__sa_-0.2474566509.png,-0.2474566509,99,-0.1968238993
/content/dataset/2024-06-21_23-59-54-256685__sa_-0.2540329506.png,-0.2540329506,99,-0.2020734917
/content/dataset/2024-06-21_23-59-54-275833__sa_-0.2606215703.png,-0.2606215703,99,-0.2074547175
/content/dataset/2024-06-21_23-59-54-281492__sa_-0.2672484872.png,-0.2672484872,99,-0.2129590486
/content/dataset/2024-06-21_23-59-54-299986__sa_-0.2738876797.png,-0.2738876797,99,-0.2186548984
/content/dataset/2024-06-21_23-59-54-444037__sa_-0.2808164369.png,-0.2808164369,99,-0.2549583627
/content/dataset/2024-06-21_23-59-54-450354__sa_-0.2877797634.png,-0.2877797634,99,-0.2579239053
/content/dataset/2024-06-21_23-59-54-467955__sa_-0.2947559106.png,-0.2947559106,99,-0.2613630464
/content/dataset/2024-06-21_23-59-54-474462__sa_-0.3017670681.png,-0.3017670681,99,-0.2651559565
/content/dataset/2024-06-21_23-59-54-493979__sa_-0.3087932355.png,-0.3087932355,99,-0.2691773555
/content/dataset/2024-06-21_23-59-54-498965__sa_-0.3158564622.png,-0.3158564622,99,-0.2735875809
/content/dataset/2024-06-21_23-59-54-516539__sa_-0.3229276449.png,-0.3229276449,99,-0.2781671282
/content/dataset/2024-06-21_23-59-54-522656__sa_-0.3300359680.png,-0.330035968,99,-0.2830941911
/content/dataset/2024-06-21_23-59-54-540423__sa_-0.3371567609.png,-0.3371567609,99,-0.2882370626
/content/dataset/2024-06-21_23-59-54-546883__sa_-0.3443138015.png,-0.3443138015,99,-0.2934818064
/content/dataset/2024-06-21_23-59-54-667775__sa_-0.3516132042.png,-0.3516132042,99,-0.3217412786
/content/dataset/2024-06-21_23-59-54-672439__sa_-0.3590240027.png,-0.3590240027,99,-0.3252984411
/content/dataset/2024-06-21_23-59-54-697759__sa_-0.3664601866.png,-0.3664601866,99,-0.3292579313
/content/dataset/2024-06-21_23-59-54-704316__sa_-0.3739309527.png,-0.3739309527,99,-0.3335789046
/content/dataset/2024-06-21_23-59-54-722363__sa_-0.3814147679.png,-0.3814147679,99,-0.3382242652
/content/dataset/2024-06-21_23-59-54-728754__sa_-0.3889355580.png,-0.388935558,99,-0.343164291
/content/dataset/2024-06-21_23-59-54-747508__sa_-0.3964683100.png,-0.39646831,99,-0.348370526
/content/dataset/2024-06-21_23-59-54-753837__sa_-0.4040385796.png,-0.4040385796,99,-0.3538205466
/content/dataset/2024-06-21_23-59-54-771906__sa_-0.4116215016.png,-0.4116215016,99,-0.3594920068
/content/dataset/2024-06-21_23-59-54-779342__sa_-0.4192434603.png,-0.4192434603,99,-0.3653677104
/content/dataset/2024-06-21_23-59-54-798638__sa_-0.4268800217.png,-0.4268800217,99,-0.3714297826
/content/dataset/2024-06-21_23-59-54-805131__sa_-0.4345525471.png,-0.4345525471,99,-0.3776643441
/content/dataset/2024-06-21_23-59-54-824108__sa_-0.4422400529.png,-0.4422400529,99,-0.3842280631
/content/dataset/2024-06-21_23-59-54-830090__sa_-0.4499655101.png,-0.4499655101,99,-0.3907559925
/content/dataset/2024-06-21_23-59-55-135761__sa_0.0000000000.png,0.0,99,-0.1473451564
/content/dataset/2024-06-21_23-59-55-154185__sa_0.0050099769.png,0.0050099769,99,-0.1325893418
/content/dataset/2024-06-21_23-59-55-161310__sa_0.0100571451.png,0.0100571451,99,-0.1188227395
/content/dataset/2024-06-21_23-59-55-184413__sa_0.0151303325.png,0.0151303325,99,-0.1059143864
/content/dataset/2024-06-21_23-59-55-191620__sa_0.0202376776.png,0.0202376776,99,-0.093768385
/content/dataset/2024-06-21_23-59-55-208695__sa_0.0253584647.png,0.0253584647,99,-0.0823106547
/content/dataset/2024-06-21_23-59-55-217895__sa_0.0305144377.png,0.0305144377,99,-0.0714698626
/content/dataset/2024-06-21_23-59-55-238679__sa_0.0356887436.png,0.0356887436,99,-0.0611849688
/content/dataset/2024-06-21_23-59-55-275663__sa_0.0409046187.png,0.0409046187,99,-0.0513988973
/content/dataset/2024-06-21_23-59-55-282326__sa_0.0461944413.png,0.0461944413,99,-0.0420567052
/content/dataset/2024-06-21_23-59-55-300234__sa_0.0514983764.png,0.0514983764,99,-0.0331143894
/content/dataset/2024-06-21_23-59-55-306798__sa_0.0568385172.png,0.0568385172,99,-0.0245296205
/content/dataset/2024-06-21_23-59-55-324806__sa_0.0621906328.png,0.0621906328,99,-0.0162663347
/content/dataset/2024-06-21_23-59-55-331643__sa_0.0675793724.png,0.0675793724,99,-0.0082893509
/content/dataset/2024-06-21_23-59-55-349700__sa_0.0729832416.png,0.0729832416,99,-0.000568998
/content/dataset/2024-06-21_23-59-55-355551__sa_0.0784221802.png,0.0784221802,99,0.0069235181
/content/dataset/2024-06-21_23-59-55-373768__sa_0.0838718038.png,0.0838718038,99,0.0142117335
/content/dataset/2024-06-21_23-59-55-380414__sa_0.0893598623.png,0.0893598623,99,0.0213196476
/content/dataset/2024-06-21_23-59-55-398263__sa_0.0948572755.png,0.0948572755,99,0.02826598
/content/dataset/2024-06-21_23-59-55-404165__sa_0.1003923192.png,0.1003923192,99,0.0350721086
/content/dataset/2024-06-21_23-59-55-421831__sa_0.1059390974.png,0.1059390974,99,0.041753097
/content/dataset/2024-06-21_23-59-55-428813__sa_0.1115232720.png,0.111523272,99,0.0483244754
/content/dataset/2024-06-21_23-59-55-447989__sa_0.1171174207.png,0.1171174207,99,0.0547976358
/content/dataset/2024-06-21_23-59-55-453672__sa_0.1227518992.png,0.1227518992,99,0.0611859395
/content/dataset/2024-06-21_23-59-55-472786__sa_0.1283978357.png,0.1283978357,99,0.0674986616
/content/dataset/2024-06-21_23-59-55-478771__sa_0.1340819273.png,0.1340819273,99,0.0737468795
/content/dataset/2024-06-21_23-59-55-496489__sa_0.1397760687.png,0.1397760687,99,0.0799378652
/content/dataset/2024-06-21_23-59-55-501951__sa_0.1455094972.png,0.1455094972,99,0.0860811184
/content/dataset/2024-06-21_23-59-55-520572__sa_0.1512527537.png,0.1512527537,99,0.0921823297
/content/dataset/2024-06-21_23-59-55-526369__sa_0.1570315566.png,0.1570315566,99,0.0982492111
/content/dataset/2024-06-21_23-59-55-573731__sa_0.1628208184.png,0.1628208184,99,0.1042862592
/content/dataset/2024-06-21_23-59-55-580243__sa_0.1687078557.png,0.1687078557,99,0.1103061537
/content/dataset/2024-06-21_23-59-55-597740__sa_0.1746058817.png,0.1746058817,99,0.1163117262
/content/dataset/2024-06-21_23-59-55-603038__sa_0.1805398774.png,0.1805398774,99,0.1223080653
/content/dataset/2024-06-21_23-59-55-621426__sa_0.1864844718.png,0.1864844718,99,0.1282972828
/content/dataset/2024-06-21_23-59-55-627471__sa_0.1924658966.png,0.1924658966,99,0.1342839087
/content/dataset/2024-06-21_23-59-55-644877__sa_0.1984592934.png,0.1984592934,99,0.1402695761
/content/dataset/2024-06-21_23-59-55-649864__sa_0.2044875650.png,0.204487565,99,0.146258044
/content/dataset/2024-06-21_23-59-55-668357__sa_0.2105268621.png,0.2105268621,99,0.1522503445
/content/dataset/2024-06-21_23-59-55-673850__sa_0.2166020908.png,0.2166020908,99,0.1582498908
/content/dataset/2024-06-21_23-59-55-692157__sa_0.2226883130.png,0.222688313,99,0.1642572898
/content/dataset/2024-06-21_23-59-55-699662__sa_0.2288121920.png,0.228812192,99,0.1702757456
/content/dataset/2024-06-21_23-59-55-719688__sa_0.2349510455.png,0.2349510455,99,0.1763058948
/content/dataset/2024-06-21_23-59-55-943229__sa_0.0555777577.png,0.0555777577,99,0.1039160012
/content/dataset/2024-06-21_23-59-55-960223__sa_0.0605887469.png,0.0605887469,99,0.0997307387
/content/dataset/2024-06-21_23-59-55-966610__sa_0.0656328000.png,0.0656328,99,0.0964231322
/content/dataset/2024-06-21_23-59-55-983770__sa_0.0706905412.png,0.0706905412,99,0.0939074276
/content/dataset/2024-06-21_23-59-56-007638__sa_0.0757936405.png,0.0757936405,99,0.0921110443
/content/dataset/2024-06-21_23-59-56-013875__sa_0.0809334406.png,0.0809334406,99,0.0909684166
/content/dataset/2024-06-21_23-59-56-032909__sa_0.0860857176.png,0.0860857176,99,0.0904183262
/content/dataset/2024-06-21_23-59-56-038895__sa_0.0912761292.png,0.0912761292,99,0.0904080708
/content/dataset/2024-06-21_23-59-56-056672__sa_0.0964764504.png,0.0964764504,99,0.0908873202
/content/dataset/2024-06-21_23-59-56-063222__sa_0.1017163157.png,0.1017163157,99,0.0918134685
/content/dataset/2024-06-21_23-59-56-082460__sa_0.1069692849.png,0.1069692849,99,0.0931454481
/content/dataset/2024-06-21_23-59-56-087482__sa_0.1122587375.png,0.1122587375,99,0.0948484208
/content/dataset/2024-06-21_23-59-57-102653__sa_-0.0002412625.png,-0.0002412625,0,0.004495051
/content/dataset/2024-06-21_23-59-58-105790__sa_0.0000000000.png,0.0,0,5.029e-07
/content/dataset/2024-06-21_23-59-58-635828__sa_0.0050000000.png,0.005,99,0.0004824303
/content/dataset/2024-06-21_23-59-58-671557__sa_0.0100393410.png,0.010039341,99,0.00140206
/content/dataset/2024-06-21_23-59-58-695939__sa_0.0151622930.png,0.015162293,99,0.0027233199
/content/dataset/2024-06-21_23-59-58-702044__sa_0.0203209500.png,0.02032095,99,0.0044102411
/content/dataset/2024-06-21_23-59-58-719193__sa_0.0254934077.png,0.0254934077,99,0.0064286474
/content/dataset/2024-06-21_23-59-58-725097__sa_0.0306974816.png,0.0306974816,99,0.0087496029
/content/dataset/2024-06-21_23-59-58-743131__sa_0.0359154234.png,0.0359154234,99,0.0113453399
/content/dataset/2024-06-21_23-59-58-749118__sa_0.0411694512.png,0.0411694512,99,0.0141929532
/content/dataset/2024-06-21_23-59-58-766343__sa_0.0464333763.png,0.0464333763,99,0.0172692229
